Category 1: converged:100.000000 % ,steinercount: 13   avergae for category 1 52.95%
Category 1: converged:100.000000 % ,steinercount: 14
Category 1: converged:100.000000 % ,steinercount: 14
Category 1: converged:100.000000 % ,steinercount: 19
Category 1: converged:100.000000 % ,steinercount: 25
Category 1: converged:100.000000 % ,steinercount: 26
Category 1: converged:15.853659 % ,steinercount: 90
Category 1: converged:20.000000 % ,steinercount: 84
Category 1: converged:21.212121 % ,steinercount: 98
Category 1: converged:25.680934 % ,steinercount: 100
Category 1: converged:26.271186 % ,steinercount: 94
Category 1: converged:27.906977 % ,steinercount: 93
Category 1: converged:28.099174 % ,steinercount: 99
Category 1: converged:29.213483 % ,steinercount: 88
Category 1: converged:32.380952 % ,steinercount: 93
Category 1: converged:34.883721 % ,steinercount: 87
Category 1: converged:35.294118 % ,steinercount: 99
Category 1: converged:36.036036 % ,steinercount: 97
Category 1: converged:36.111111 % ,steinercount: 88
Category 1: converged:37.288136 % ,steinercount: 89
Category 1: converged:42.105263 % ,steinercount: 82
Category 1: converged:42.592593 % ,steinercount: 79
Category 1: converged:43.750000 % ,steinercount: 85
Category 1: converged:43.750000 % ,steinercount: 88
Category 1: converged:45.000000 % ,steinercount: 79
Category 1: converged:46.875000 % ,steinercount: 70
Category 1: converged:47.727273 % ,steinercount: 78
Category 1: converged:47.826087 % ,steinercount: 63
Category 1: converged:50.000000 % ,steinercount: 58
Category 1: converged:50.000000 % ,steinercount: 70
Category 1: converged:54.285714 % ,steinercount: 71
Category 1: converged:56.666667 % ,steinercount: 68
Category 1: converged:58.823529 % ,steinercount: 85
Category 1: converged:60.000000 % ,steinercount: 52
Category 1: converged:61.764706 % ,steinercount: 72
Category 1: converged:66.666667 % ,steinercount: 56
Category 1: converged:73.333333 % ,steinercount: 48
Category 1: converged:75.000000 % ,steinercount: 29
Category 1: converged:80.000000 % ,steinercount: 36
Category 1: converged:83.333333 % ,steinercount: 54
Category 2: converged:100.000000 % ,steinercount: 15        avg category 2  55.75%
Category 2: converged:29.357798 % ,steinercount: 93
Category 2: converged:42.424242 % ,steinercount: 84
Category 2: converged:43.076923 % ,steinercount: 87
Category 2: converged:48.437500 % ,steinercount: 88
Category 2: converged:55.555556 % ,steinercount: 36
Category 2: converged:71.428571 % ,steinercount: 58
