Category 1: converged:15.384615 % ,steinercount: 9      avg Category 1: 35.3%
Category 1: converged:19.230769 % ,steinercount: 5
Category 1: converged:19.512195 % ,steinercount: 28
Category 1: converged:21.011673 % ,steinercount: 30
Category 1: converged:21.717172 % ,steinercount: 29
Category 1: converged:25.490196 % ,steinercount: 30
Category 1: converged:26.086957 % ,steinercount: 6
Category 1: converged:26.446281 % ,steinercount: 30
Category 1: converged:29.661017 % ,steinercount: 29
Category 1: converged:32.432432 % ,steinercount: 30
Category 1: converged:32.558140 % ,steinercount: 21
Category 1: converged:33.333333 % ,steinercount: 5
Category 1: converged:33.707865 % ,steinercount: 25
Category 1: converged:35.000000 % ,steinercount: 16
Category 1: converged:36.190476 % ,steinercount: 25
Category 1: converged:36.363636 % ,steinercount: 4
Category 1: converged:36.666667 % ,steinercount: 11
Category 1: converged:36.842105 % ,steinercount: 14
Category 1: converged:37.288136 % ,steinercount: 17
Category 1: converged:37.500000 % ,steinercount: 15
Category 1: converged:37.500000 % ,steinercount: 3
Category 1: converged:38.636364 % ,steinercount: 13
Category 1: converged:39.062500 % ,steinercount: 20
Category 1: converged:40.000000 % ,steinercount: 4
Category 1: converged:40.000000 % ,steinercount: 6
Category 1: converged:40.697674 % ,steinercount: 28
Category 1: converged:41.176471 % ,steinercount: 14
Category 1: converged:41.666667 % ,steinercount: 26
Category 1: converged:42.857143 % ,steinercount: 15
Category 1: converged:42.857143 % ,steinercount: 8
Category 1: converged:45.000000 % ,steinercount: 9
Category 1: converged:46.875000 % ,steinercount: 15
Category 1: converged:48.148148 % ,steinercount: 21
Category 1: converged:50.000000 % ,steinercount: 3
Category 1: converged:50.000000 % ,steinercount: 3
Category 1: converged:50.000000 % ,steinercount: 8
Category 1: converged:60.000000 % ,steinercount: 3
Category 1: converged:60.294118 % ,steinercount: 30
Category 1: converged:66.666667 % ,steinercount: 4
Category 1: converged:66.666667 % ,steinercount: 6
Category 2: converged:25.688073 % ,steinercount: 21 avg category 2: 32.59%
Category 2: converged:28.571429 % ,steinercount: 6
Category 2: converged:29.687500 % ,steinercount: 15
Category 2: converged:30.769231 % ,steinercount: 15
Category 2: converged:36.363636 % ,steinercount: 18
Category 2: converged:44.444444 % ,steinercount: 3
Category 2: converged:66.666667 % ,steinercount: 4
Category 3: converged:12.367491 % ,steinercount: 30     average category 3: 27.82%
Category 3: converged:13.576159 % ,steinercount: 30
Category 3: converged:13.928571 % ,steinercount: 30
Category 3: converged:14.624506 % ,steinercount: 30
Category 3: converged:14.878893 % ,steinercount: 30
Category 3: converged:15.830116 % ,steinercount: 30
Category 3: converged:18.548387 % ,steinercount: 30
Category 3: converged:18.811881 % ,steinercount: 17
Category 3: converged:20.000000 % ,steinercount: 5
Category 3: converged:22.560976 % ,steinercount: 30
Category 3: converged:22.727273 % ,steinercount: 30
Category 3: converged:23.076923 % ,steinercount: 9
Category 3: converged:23.437500 % ,steinercount: 14
Category 3: converged:23.602484 % ,steinercount: 30
Category 3: converged:23.809524 % ,steinercount: 5
Category 3: converged:24.000000 % ,steinercount: 15
Category 3: converged:24.000000 % ,steinercount: 5
Category 3: converged:24.242424 % ,steinercount: 30
Category 3: converged:24.390244 % ,steinercount: 18
Category 3: converged:25.000000 % ,steinercount: 6
Category 3: converged:25.225225 % ,steinercount: 23
Category 3: converged:26.086957 % ,steinercount: 14
Category 3: converged:26.315789 % ,steinercount: 17
Category 3: converged:26.666667 % ,steinercount: 4
